date,ticker,call,price_at_call,thesis,horizon,status
2026-07-04,BE,平空(建议自6月底持续),283.88,逆AI电力主线的空单+亏损无上限+吃保证金,即刻,已执行50%(7/9确认-100→-50;剩半仍建议平)
2026-07-04,QCOM,砍到10-15%期权仓,179.60,FY26营收-4%+已rerate到21x+低确信不配高仓,即刻,未执行
2026-07-04,MU,买入头号,,存储超周期+take-or-pay下行保护+前瞻8x,6-12月,待缓冲修复
2026-07-04,SKHY,7/10上市后分批建(存储首选),,HBM4唯一量产+格局最强,6-12月,待上市
2026-07-04,BESI.AS,分批买入≤10%,,混合键合近垄断+Q1订单+104%,6-12月,待缓冲修复+Q2财报
2026-07-04,CRDO,持有+移动止盈(距高点-25%减),254.00,光互连真景气但107x已price,持续,持有中
2026-07-04,AVGO,留/逢跌加,368.50,capex$242B/季上修+OpenAI-博通10GW,6-12月,持有中
2026-07-04,EWY,留/可加,180.70,一键三星+海力士存储篮子,6-12月,已执行加仓(7/9确认45→125股)
2026-07-04,A股科技,逢强减不追(科创PE超2015顶),,陈果图:泡沫顶特征,1-3月,提示中
2026-07-09,ACCT,结构优化(逢机平BE/减QCOM)非紧急,缓冲已回正+12.3k,杠杆2.73安全区但BE+QCOM仍是低效敞口,持续,建议中
2026-07-09,MU,首选存储马(优于SKHY)回落$960-980分批,1013,同~5x PE但无ADR溢价+干净美股+政治顺风(vs韩系逆风);今日+6.8%别追,2026-12,建议中
2026-07-09,SKHY,仅溢价收敛<10-13%才接首笔;高开15-20%溢价不碰,~158,S&T note:ADR有15-20%准入过路费+F-6授权17.8亿ADS(10x)封顶溢价+非完全可兑换,6-12月,待上市观察溢价
2026-07-10,SKHY,定价$149(仅+3.1%韩股收盘=溢价在7/9设的<10-13%接受带内)·今日Nasdaq挂牌·7x+超购;首日近$149-165(溢价<~10%)可接5%、若高开15-20%不碰;MU仍更干净首选,149.00,催化落地·符合7/9溢价框架→首笔条件基本满足但盯首日交易溢价,6-12月,可启动首笔(盯首日溢价)
2026-07-10,BE,趁反弹平掉剩余50股(为SKHY/MU腾dry powder),261.45,自7/4喊平已从283→261改善;无上限空头+吃保证金+与GEV多头自相矛盾,即刻,建议中
2026-07-10,QCOM,砍到10-15%(反弹到188=好减价),188.71,"自7/4喊减179.6已反弹+5%;基本面掉队(FY26-4%/21x)未改,减超配换存储",即刻,未执行
2026-07-11,SKHY,首日不追(符合我7/9-10溢价框架),168.01,首日+13%收$168.01(定价$149/开盘$170回落)=收在我$165不追线上、溢价对韩股平价~12%>10%带;高开>10%不碰、等回落或用MU替代,6-12月,框架兑现·首日未接(正确)
2026-07-11,MU,启动首笔(减QCOM换头号存储马),978.69,"收$978落进我7/9给的$960-980建仓带;今日三新confirm:GS""卖韩国AI""(韩系拥挤)独立排MU>EWY/SKHY+Bernstein接口芯片TAM 3x夯实内存链+TrendForce Q3 DRAM+13-18%仍极紧;钱从QCOM减出、首笔≤NAV5%、不加毛杠杆",2026-12,建议启动首笔(换QCOM→MU)
2026-07-11,BE,逢反弹平剩余50股(非紧急),239.58,"自7/4喊平已从283→239改善(空头浮盈+);缓冲健康$15.9k故非紧急,但无上限空头+吃保证金+与GEV多头自相矛盾=结构低质仍应了结",即刻,建议中(剩余50股未平)
